ID;ARTICLE;NAME;BRAND;MODEL;QUANTITY;PRICE;Ширина;Диаметр;KOL_VO_KREPEZHNYKH_OTVERSTIY;PCD;PCD2;ET;DIA;LZ2;WHEEL_TYPE;COLOR;SHOP_LENGTH;SHOP_WIDTH;SHOP_HEIGHT;SHOP_WEIGHT;CATEGORY;Код поставщика;Год производства;Товар SALE;Срок доставки;Расшифровка цвета;Артикул поставщика;Изображение ММ 1;Изображение ММ 1_SHA1;PRODUCT_IMAGE;PRODUCT_IMAGE_SHA1;WAREHOUSE_ID;WAREHOUSE_NAME
w451191;75671;K&K Байконур 8x16 5*139.7 ET-15 DIA110.1 Дарк платинум Литой;K&K;Байконур;8;10803.00;8;16;5;139.7;;-15;110.1;;Литой;Дарк платинум;410;410;200;10000;легковые;КА-00030219;;;0;Серебристый;КА-00030219;https://lk.selectyre.ru/media/wheels/big/kk/baykonur_55423.png;a98909d28a3b441a06be43ff344b365f5a8bf73d;https://lk.selectyre.ru/media/wheels/big/kk/baykonur_55423.png;a98909d28a3b441a06be43ff344b365f5a8bf73d;zapaska_novosibirsk;Новосибирск
w451247;327507;iFree Big Byz 7x17 5*114.3 ET40 DIA66.1 Хай Вэй Литой;iFree;Big Byz;4;9944.00;7;17;5;114.3;;40;66.1;;Литой;Хай Вэй;440;440;180;11000;легковые;КА-00046441;;;0;Серый;КА-00046441;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_27585.png;29c0b53ae934d5cdf4e989f55e8e511aba2f6353;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_27585.png;29c0b53ae934d5cdf4e989f55e8e511aba2f6353;zapaska_novosibirsk;Новосибирск
w451250;327515;iFree Big Byz 7x17 5*114.3 ET45 DIA60.1 Хай Вэй Литой;iFree;Big Byz;4;9944.00;7;17;5;114.3;;45;60.1;;Литой;Хай Вэй;440;440;180;11000;легковые;КА-00012497;;;0;Серый;КА-00012497;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_27585.png;29c0b53ae934d5cdf4e989f55e8e511aba2f6353;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_27585.png;29c0b53ae934d5cdf4e989f55e8e511aba2f6353;zapaska_novosibirsk;Новосибирск
w451274;327214;iFree Big Byz 7x17 5*114.3 ET45 DIA67.1 Нео-классик Литой;iFree;Big Byz;4;9944.00;7;17;5;114.3;;45;67.1;;Литой;Нео-классик;440;440;180;11000;легковые;КА-00053124;;;0;Серебристый;КА-00053124;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_17821.png;bd53eda97149473a8a56da14eefabf34778f89d5;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_17821.png;bd53eda97149473a8a56da14eefabf34778f89d5;zapaska_novosibirsk;Новосибирск
w451275;327207;iFree Big Byz 7x17 5*114.3 ET40 DIA66.1 Нео-классик Литой;iFree;Big Byz;4;9944.00;7;17;5;114.3;;40;66.1;;Литой;Нео-классик;440;440;180;11000;легковые;КА-00012450;;;0;Серебристый;КА-00012450;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_17821.png;bd53eda97149473a8a56da14eefabf34778f89d5;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_17821.png;bd53eda97149473a8a56da14eefabf34778f89d5;zapaska_novosibirsk;Новосибирск
w451277;327201;iFree Big Byz 7x17 5*114.3 ET35 DIA67.1 Нео-классик Литой;iFree;Big Byz;8;9944.00;7;17;5;114.3;;35;67.1;;Литой;Нео-классик;440;440;180;11000;легковые;КА-00053104;;;0;Серебристый;КА-00053104;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_17821.png;bd53eda97149473a8a56da14eefabf34778f89d5;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_17821.png;bd53eda97149473a8a56da14eefabf34778f89d5;zapaska_novosibirsk;Новосибирск
w451281;327505;iFree Big Byz 7x17 5*114.3 ET39 DIA60.1 Хай Вэй Литой;iFree;Big Byz;4;9944.00;7;17;5;114.3;;39;60.1;;Литой;Хай Вэй;440;440;180;11000;легковые;КА-00053107;;;0;Серый;КА-00053107;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_27585.png;29c0b53ae934d5cdf4e989f55e8e511aba2f6353;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_27585.png;29c0b53ae934d5cdf4e989f55e8e511aba2f6353;zapaska_novosibirsk;Новосибирск
w451285;WHS111105;iFree Big Byz 7x17 5*114.3 ET45 DIA60.1 Блэк Джек Литой;iFree;Big Byz;4;10489.00;7;17;5;114.3;;45;60.1;;Литой;Блэк Джек;440;440;180;11000;легковые;WHS111105;;;0;Черный и комбинации;WHS111105;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_41187.png;46feecd4ffbe7df1874f97b71833aafd34419880;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_41187.png;46feecd4ffbe7df1874f97b71833aafd34419880;fortochki_novosibirsk;Новосибирск
w451291;327801;iFree Big Byz 7x17 5*114.3 ET35 DIA67.1 Блэк Джек Литой;iFree;Big Byz;12;10498.00;7;17;5;114.3;;35;67.1;;Литой;Блэк Джек;440;440;180;11000;легковые;КА-00044069;;;0;Черный и комбинации;КА-00044069;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_41187.png;46feecd4ffbe7df1874f97b71833aafd34419880;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_41187.png;46feecd4ffbe7df1874f97b71833aafd34419880;zapaska_novosibirsk;Новосибирск
w451294;327221;iFree Big Byz 7x17 5*114.3 ET50 DIA67.1 Нео-классик Литой;iFree;Big Byz;4;9944.00;7;17;5;114.3;;50;67.1;;Литой;Нео-классик;440;440;180;11000;легковые;КА-00053130;;;0;Серебристый;КА-00053130;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_17821.png;bd53eda97149473a8a56da14eefabf34778f89d5;https://lk.selectyre.ru/media/wheels/big/ifree/big-byz_17821.png;bd53eda97149473a8a56da14eefabf34778f89d5;zapaska_novosibirsk;Новосибирск
w451341;72594;K&K Триал 6.5x15 5*139.7 ET5 DIA110.1 Дарк платинум Литой;K&K;Триал;8;8136.00;6.5;15;5;139.7;;5;110.1;;Литой;Дарк платинум;390;390;170;8000;легковые;00000022082;;;0;Серебристый;00000022082;https://lk.selectyre.ru/media/wheels/big/kk/trial_16761.png;4194dcb69c5bc69df3f889f971f5840ab954b98e;https://lk.selectyre.ru/media/wheels/big/kk/trial_16761.png;4194dcb69c5bc69df3f889f971f5840ab954b98e;zapaska_novosibirsk;Новосибирск
